index,time,tweets
133,2020-11-17 16:54:09,Avionics cables moving to steel pipe shields &amp; adding water-cooled steel pipes to test pad
134,2020-11-17 16:49:43,"About secs after starting engines, martyte covering concrete below shattered, sending blades of"
135,2020-11-17 16:42:19,The most amazing thing about rocket engines is that they *sometimes* dont blow up! The
136,2020-11-17 16:33:09,We should just count the atoms at this point
137,2020-11-17 16:20:08,Absolutely. Production/testing of rocket engines is over % of
138,2020-11-17 16:10:22,Our first Merlin engine design was really bad tbh. Nothing worked well
139,2020-11-17 15:58:51,Maybe *I* just love irony haha
140,2020-11-17 15:57:41,"Theyre on their way! Hopefully, more Teslaquila next month."
141,2020-11-17 15:54:47,Special permission received from Stonecutters Guild!
142,2020-11-17 15:46:44,Fate Irony
143,2020-11-17 15:41:36,Well said.
144,2020-11-17 06:54:03,
145,2020-11-17 05:15:10,"Damn, thats not easy! I spent quite a bit of time looking at Russian/Ukrainian engines. Theyre good."
146,2020-11-17 04:37:18,Yes
147,2020-11-17 04:19:03,: Docking confirmed Crew Dragon has arrived at the !
148,2020-11-16 22:02:51,Toss a bitcoin to ur Witcher
149,2020-11-16 21:34:57,
150,2020-11-16 21:19:59,": Enter the Crew Dragon. At :48 p.m. EST (9:48 p.m. UTC), the NASA Crew-1 astronauts give you a LIVE tour of their space"
151,2020-11-16 19:46:00,"CureVac, Moderna &amp; a few others. Tesla makes the machine CureVac uses to go from kn"
152,2020-11-16 19:37:38,Creating synthetic mRNA for cures/vaccines is the future of medicine imo. Turns it (mostly) into a
153,2020-11-16 19:29:04,Haha
154,2020-11-16 19:20:08,Great thread
155,2020-11-16 19:07:06,"Im ok, thanks for asking. No symptoms for past few days, apart from fatigue. Unless something chang"
156,2020-11-16 01:09:01,
157,2020-11-16 00:23:02,Launch in minutes
158,2020-11-16 00:13:05,"Yeah, with cooling channels integrated into the chamber walls"
159,2020-11-16 00:00:41,"The same propellant is used either for abort or for orbital maneuvering, as one use obviates the other"
160,2020-11-15 23:58:27,"Dragon can also hover &amp; land propulsively, but we use the parachutes for maximum safety"
161,2020-11-15 23:55:43,"Thrusters are integrated with spacecraft, enabling abort capability all the way to abort for increased safety"
162,2020-11-15 23:36:05,: What song would you play on your ride out to the launch pad?
163,2020-11-15 23:31:22,: Dragon has completed flights to and from the . It was designed from the beginning with human spaceflight in mi
164,2020-11-15 23:31:11,: Dragon is the only spacecraft currently flying capable of returning significant amounts of cargo to Earth and is the first priv
165,2020-11-15 22:58:51,: SpaceXs custom-tailored suits route the communications and cooling systems and protect the crew in the event of cabin depressu
166,2020-11-15 21:41:58,: LIVE NOW: We are ready to . Are you? Watch coverage of the NASA Crew-1 mission. Liftoff is at :27pm ET:
167,2020-11-15 21:41:36,: Watch Falcon launch Crew Dragon on its first operational mission to the with astronauts on board
168,2020-11-15 16:02:04,Ok
169,2020-11-15 15:00:27,: All systems are go for tonights launch at :27 p.m. EST of Crew Dragons first operational mission with four astronauts on boa
170,2020-11-15 14:51:24,"Yeah, I feel pretty normal. No symptoms right now. Last week, I had sym"
171,2020-11-15 14:44:50,"Doing tests from several different labs, same time of day, administered by RN &amp; am"
172,2020-11-15 14:21:29,"Both obv insanely great, too bad they had this pointless argument"
173,2020-11-15 14:13:45,Astronaut launch today!
174,2020-11-15 14:12:00,": has a message for boys and girls in Japan: ""Space is waiting!"" In this Spotlight, astronaut So"
175,2020-11-15 09:02:07,: This week... NASA's Crew-1 astronauts arrive at ahead of launch Our rover marks days
176,2020-11-15 09:00:53,": just finished final dress rehearsal, getting ready for Saturday launch! Behind me is ""real"""
177,2020-11-15 06:39:49,No kids though
178,2020-11-15 05:39:26,Hell of a wig collection too
179,2020-11-15 03:37:19,It would be great if labs could give people this level of granular feedback in their results
180,2020-11-15 03:19:00,: Great question! Its more complex question and depends on why the test is being used - ie: do you want to kn
181,2020-11-15 02:52:28,Worth reading this thread if youre curious about rona testing
182,2020-11-15 02:39:19,"They should be imo. If you get a blood pressure test, they tell you the number, not ju"
183,2020-11-15 00:42:50,"A little up &amp; down. Feels just like a regular cold, but more body achy &amp; cloudy head than co"
184,2020-11-15 00:37:50,"In your opinion, at what Ct number for the cov2 N1 gene should a PCR test probably be regarded as"
185,2020-11-14 23:49:24,!
