index,time,tweets
399,2020-10-21 23:26:22,"Cold gas for now, hot later"
400,2020-10-21 20:16:21,"I mean, ya gotta have a tiki bar"
401,2020-10-21 20:13:20,"Starship nosecone, high bay &amp; tiki bar"
402,2020-10-21 18:08:43,
403,2020-10-21 02:55:44,After it gets to orbit a few times
404,2020-10-21 02:37:56,Got a little melty tbh
405,2020-10-21 01:33:50,"Those engines could go bar, but would be dicey. Pushing it for near-term tests doesnt achieve"
406,2020-10-21 00:21:30,Raptor has now run for secs at bar chamber pressure before encountering issues. mT-F sea
407,2020-10-20 22:19:31,"FSD beta rollout happening tonight. Will be extremely slow &amp; cautious, as it should."
408,2020-10-20 22:17:05,Data from engine Starship static fire this morning looks good. Proceeding with nosecone mate.
409,2020-10-19 04:05:54,Yes. We also have to consider population life-months lost from lockdowns &amp; other restriction
410,2020-10-19 00:32:08,Sweden at zero deaths Oct
411,2020-10-18 22:43:53,Yes
412,2020-10-17 19:07:39,"Firmware is probably a slightly more accurate description, but yes"
413,2020-10-17 06:20:21,: There's no place like home..especially if it has a Solar Roof.This Kansas ranch got theirs installed in days.
414,2020-10-17 02:12:02,"Mobi-C has too much mobility, fusion has too little. We need Mobi-D haha."
415,2020-10-17 02:06:30,"Actually, its my neck"
416,2020-10-17 01:20:43,"Maybe I can be helpful. Had Mobi-C disc put in at C5-C6, however st surgery failed to remov"
417,2020-10-17 01:12:59,Pretty accurate. Its not so much DNA sequencing as it is using synthetic DNA/RNA to fix bugs in our code
418,2020-10-16 21:23:32,London to Beijing would be cool
419,2020-10-16 21:22:43,"Wow, that would be quite a trip!"
420,2020-10-16 18:46:42,Thats my kid haha
421,2020-10-16 17:30:45,mtr trnd
422,2020-10-16 09:00:43,Looks like snoopy
423,2020-10-16 07:45:31,Current production is slightly better
424,2020-10-16 07:44:38,Doesnt seem to be any life in this solar system. Maybe under the ice of Europa or
425,2020-10-16 07:35:06,": Tesla Model SR+ Has Lowest Energy Consumption of All BEVs, Says Report"
426,2020-10-16 07:13:28,Very creative
427,2020-10-16 06:28:04,That free fusion reactor in the sky conveniently converts ~4 million tons of mass into energy every second
428,2020-10-15 20:23:42,You never know
429,2020-10-15 07:53:13,After
430,2020-10-14 23:17:27,
431,2020-10-14 22:59:14,"Also, system should autodelete old data automatically by default"
432,2020-10-14 20:06:49,Table in tension
433,2020-10-14 19:06:10,Yes
434,2020-10-14 19:03:52,"Starting production on seater next month, initial deliveries early December"
435,2020-10-14 19:01:19,"The gauntlet has been thrown down! The prophecy will be fulfilled. Model S price changes to $69,420 tonight!"
436,2020-10-14 18:14:43,
437,2020-10-14 18:08:13,Congratulations!
438,2020-10-14 17:43:13,Making progress
439,2020-10-14 09:28:14,meter or roughly ft diameter
440,2020-10-14 09:24:55,Will be less roomy with vacuum rocket engines added
441,2020-10-14 08:58:01,"Its still there, but focus is Vegas &amp; Prufrock, our new tunneling machine"
442,2020-10-14 08:54:25,For sure
443,2020-10-14 08:54:16,Maybe a month or so. Some finishing touches need to be done on the stations.
444,2020-10-14 06:02:59,"We simplified this a lot. Its basically just Teslas in tunnels at this point,"
445,2020-10-14 05:59:13,Sweet
446,2020-10-14 05:51:38,Yes. Everything is slow to a phased array antenna.
447,2020-10-14 05:46:58,Nice
448,2020-10-14 04:27:00,What is love? Baby dont hurt me. Winston Churchill
449,2020-10-13 17:27:18,Or maybe weak turrets to allow more strategic degrees of freedom
450,2020-10-13 17:23:37,Please buff Torbs turret!
451,2020-10-13 05:43:22,Um yes
452,2020-10-13 05:42:23,I have Goosebumps merch. Not sure how tbh.
453,2020-10-13 05:39:17,HG2G
454,2020-10-13 05:38:03,LotR
455,2020-10-13 05:36:46,The Illuminaughty
456,2020-10-13 05:00:55,Knee deep
457,2020-10-13 03:09:50,": This will be the first flight of the upgraded cargo version of Dragon, which is able to carry % more science payloads than th"
458,2020-10-13 03:09:49,: The Dragon spacecraft supporting SpaceXs st cargo resupply mission to the departed our Hawthorne factory last
459,2020-10-13 03:09:13,Yeah
460,2020-10-13 00:04:08,At least success is in the set of all possible outcomes this time!
461,2020-10-13 00:02:17,"Diess is doing his best to move in the right direction, but hes in a tough position wi"
462,2020-10-12 23:58:32,Good grief! SpaceX is getting zero money for this. Starship is designed to carry people &amp; cargo around Ear
463,2020-10-12 21:23:59,"With FSD, we got stuck in a lot of local maximums, which wasnt clear until we hit the ceiling. This time, its right."
464,2020-10-12 21:20:01,"Thank you, much more accurate haha"
465,2020-10-12 21:11:19,This graph appears to be upside down
466,2020-10-12 20:29:44,Sheer magnitude of the entire production system is hard to appreciate. Almost every element of productio
467,2020-10-12 11:46:08,Will release order configurator probably in Jan
468,2020-10-12 11:31:44,"Limited FSD beta releasing on Tuesday next week, as promised. This will, at first, be limited to a s"
469,2020-10-12 11:20:41,"The SoCs sync with each other to times/sec, exchanging output of NNs that should be in"
470,2020-10-12 11:13:48,Tesla FSD computers dual SoCs function like twin engines on planes they each run different neural nets
471,2020-10-12 11:06:24,Accurate analysis. Quite a few ego/intelligence&gt;&gt;1 people in your comment thread haha. Neither MobilEye
472,2020-10-12 05:13:20,!
473,2020-10-12 05:13:00,Glad Jen is safe!
474,2020-10-12 03:52:01,Wow
475,2020-10-12 03:06:09,"Uh ok, here we go"
476,2020-10-12 02:26:22,I dont think this is accurate
477,2020-10-12 02:05:46,"Yeah, there are lite"
478,2020-10-12 02:00:14,"Even if half that amount, its still a big deal!"
479,2020-10-12 00:46:23,
480,2020-10-12 00:45:54,I have seen no evidence of an advanc
481,2020-10-12 00:25:07,We face a tough dichotomy of applying resources to the old architecture or applying them to the ne
482,2020-10-11 23:40:49,Definitely
483,2020-10-11 23:39:32,"Exactly. He plays the poor inventor card, but was rich all along &amp; invented nothing (as far as I kn"
484,2020-10-11 23:33:57,There are sketchy edits to Tesla wiki that whitewash Eberhards problems/glorify his role. Pretty odd
485,2020-10-11 20:33:17,When Eberhard was fired from the Tesla CEO role in mid for providing false information to me &amp; t
486,2020-10-11 19:18:35,Interesting
487,2020-10-11 18:56:24,: The future of cars can and will be electric if the entire industry starts making and marketing compelling EVs for everyone
488,2020-10-11 04:39:26,
489,2020-10-10 23:10:20,Probably
490,2020-10-10 23:09:30,I have that exact art on the wall of the place I stay in Boca Chica!
491,2020-10-10 22:50:18,"Yes, failure to protect nursing homes was a major mistake (happened in most countries"
492,2020-10-10 22:12:32,Sweden was right
493,2020-10-10 21:42:44,
494,2020-10-10 20:37:36,Great work by SpaceX valve engineering &amp; production!
495,2020-10-10 05:38:46,Our tiles are mechanically attached
496,2020-10-10 01:37:17,It m
497,2020-10-09 22:11:28,Tiles will be
498,2020-10-09 20:38:19,"Compilers need to improve imo. Most type, pointer (or other memory) problems can be detected at comp"
499,2020-10-09 09:07:07,Im proud to say that that nose is pointier than it needs to be haha
