index,time,text
207,2020-11-13 21:47:44,Lab I just spoke to said cov2 PCR detection (N1 &amp; N3 genes) below 30 cycles is reliable &amp; above 40 cycles is not
208,2020-11-13 21:42:34,"@RationalEtienne @ryaneshea Note, this is not the spike protein. They don’t consider that reliable."
209,2020-11-13 21:41:59,"@RationalEtienne @ryaneshea Just spoke directly to a testing lab. Their main PCR search is for the N1 gene, unique… https://t.co/x57OdvDAuO"
210,2020-11-13 19:39:18,@PPathole Strange
211,2020-11-13 19:28:31,@ryaneshea Possible explanation for the dramatic decline in cold &amp; flu prevalence vs prior years. If someone comes… https://t.co/gMLVEwwXDP
212,2020-11-13 19:25:10,"@ryaneshea Moreover, lower the true prevalence, the higher the false positive number will be. This sounds obvious,… https://t.co/XvAbEkLh1q"
213,2020-11-13 19:21:54,@ryaneshea From https://t.co/42z7vRPB9c https://t.co/XTSukcc3Tl
214,2020-11-13 17:55:05,@dana_e_morgan Sure is
215,2020-11-13 17:41:59,Would be great to hear from people who know a lot about the PCR testing industry. What’s the approximate false posi… https://t.co/lVc11nIkql
216,2020-11-13 17:07:09,@ClareCraigPath Interesting
217,2020-11-13 17:04:52,@john_beans @DirtyTesla Interesting
218,2020-11-13 16:28:32,What is the general population (no knowledge of symptoms) accuracy of a sars-cov2 PCR test &amp; is it possible to gene… https://t.co/VbIU7ds4UQ
219,2020-11-13 12:17:36,"@PPathole @cleantechnica A good PCR test should identify if I have the cov2 spike proteins, although I have heard s… https://t.co/M8Vj2gaOfs"
220,2020-11-13 11:23:04,"@justpaulinelol @cleantechnica Mild sniffles &amp; cough &amp; slight fever past few days. Right now, no symptoms, although I did take NyQuil."
221,2020-11-13 11:16:45,"@cleantechnica Technically, I tested positive, then negative twice, then positive again, so “Elon Musk Tests Negati… https://t.co/6ohTA09S5l"
222,2020-11-13 06:11:57,The carousel turns ever faster
223,2020-11-13 06:08:20,@JoeInGeneral @andrewbogut Yup
224,2020-11-13 05:57:52,@ajtourville Exactly
225,2020-11-13 05:52:01,@JaneidyEve Symptoms of a typical cold. Nothing unusual so far.
226,2020-11-13 05:50:29,"@BLKMDL3 If it’s happening to me, it’s happening to others. I’m getting PCR tests from separate labs. Results will take about 24 hours."
227,2020-11-13 05:47:11,"Something extremely bogus is going on. Was tested for covid four times today. Two tests came back negative, two cam… https://t.co/Z2V15u7Zcf"
228,2020-11-13 03:26:57,"@austinbarnard45 Burst disk worked, so vehicle appears to be ok. We’ll have to swap out at least one of the engines."
229,2020-11-13 02:18:11,@tobyliiiiiiiiii @SpacePadreIsle @austinbarnard45 Maybe melted an engine preburner or fuel hot gas manifold. Whatev… https://t.co/5elyX8PjlG
230,2020-11-13 02:09:00,@austinbarnard45 We lost vehicle pneumatics. Reason unknown at present. Liquid oxygen header tank pressure is risin… https://t.co/SZc90HnTi8
231,2020-11-12 23:06:29,@DrPhiltill 🤣🤣👍
232,2020-11-12 16:21:37,"RT @Teslarati: Tesla tops list of 2020’s Most Attractive Employers for US engineering students
https://t.co/KKNYQlet0o"
233,2020-11-12 15:34:36,4 Astronauts fly to @Space_Station on Sat night from Cape. First operational flight of Crew Dragon. https://t.co/uZCGiKciKb
234,2020-11-12 15:23:01,@Cardoso Luck is the best superpower
235,2020-11-12 01:27:27,RT @SpaceX: Thank you to all those who have served and sacrificed #VeteransDay https://t.co/U8kN4FZpJ9
236,2020-11-11 13:31:25,RT @SpaceX: Crew access arm swings into place https://t.co/XAImd6nLJV
237,2020-11-11 04:38:41,@hiromichimizuno Yes
238,2020-11-10 22:02:09,@Kristennetten It is an honor that they would choose to work with me. I strive to ensure that the companies enable… https://t.co/OTdwCSk3cK
239,2020-11-10 21:24:38,Such a privilege to work with people I like &amp; respect so much. I feel blessed.
240,2020-11-10 20:12:58,"RT @Commercial_Crew: The Flight Readiness Review for the Crew-1 mission to the @Space_Station has concluded, and @NASA and @SpaceX are GO t…"
241,2020-11-10 16:14:36,RT @SpaceX: Falcon 9 and Crew Dragon vertical on Launch Complex 39A https://t.co/hBVUHWv3Ab
242,2020-11-10 16:14:04,@DJSnM @DavidHuber15 @nickhenning3d @SpaceX @ErcXspace @Neopork85 @C_Bass3d @Caspar_Stanley @SpacexVision @FelixSchlang Probably
243,2020-11-10 16:12:59,@TeslaNY @Tesla Happy to see this :)
244,2020-11-09 23:08:21,"@SamTalksTesla @Tesla I do expect this to become an important product for the world, but probably not financially material for Tesla"
245,2020-11-09 23:05:22,@nickhenning3d @SpaceX @ErcXspace @Neopork85 @C_Bass3d @Caspar_Stanley @SpacexVision @FelixSchlang There’s no entry… https://t.co/NCafKnfZlc
246,2020-11-09 22:51:18,@SamTalksTesla @Tesla Tesla makes the RNA Bioreactor that can make vaccines / cures. CureVac has version 2 in use.… https://t.co/OPouohyAmu
247,2020-11-09 22:45:24,RT @SpaceX: Crew Dragon and Falcon 9 in the hangar at Launch Complex 39A ahead of launching four astronauts to the @space_station; liftoff…
248,2020-11-09 22:41:55,@TesLatino Checking
249,2020-11-09 22:18:38,@pcgamer I just hope this game doesn’t twist itself to tedium out of fear of being canceled
250,2020-11-09 18:38:23,"RT @boringcompany: Rumor has it that ""Austin Chalk"" is geologically one of best soils for tunneling. Want to find out? Austin jobs now avai…"
251,2020-11-09 18:03:19,https://t.co/d0i2w8wNKG
252,2020-11-09 16:57:33,"Yes, you can have my damn cookie! should be a browser setting"
253,2020-11-09 15:39:20,@teslaownerssv @Tesla Thanks to a lot of great Autopilot/AI hardware &amp; software engineers at Tesla!
